"age";"Ca";"Ti"
12654;4.41447475132756;2.43574002925442
12655;4.22907268904276;2.56319637716472
12656;4.52773876575977;2.61107107858864
12656;4.52773876575977;2.61107107858864
12657;4.32934865302901;2.22840345422676
12659;4.2803522994008;2.35437338901597
12660;4.28821393986841;2.33613208616614
12661;4.21635134621241;2.20682098805968
12662;4.35773852036187;2.30650678205836
12663;4.33181596783484;2.2520083716088
12665;4.64133934054806;2.47636460839222
12666;4.40528703974297;2.29436802649391
12667;4.49854107224869;2.37141211690038
12668;4.29619015978437;2.29624614758833
12670;4.43475107719994;2.50968102890038
12671;4.43588526235362;2.26107360500082
12672;4.66744680821707;2.44989550970208
12673;4.54606307951993;2.33139926368708
12675;4.68043057964381;2.34328184077399
12676;4.42952355686759;2.31277119435207
12677;4.25738156579884;2.18283313036084
12678;4.42412738696071;2.19541923475685
12679;4.46738418157259;2.30938875490877
12681;4.42460669029574;2.12671232012266
12682;4.54295005856319;2.14578860074986
12683;5.13277605151695;2.032986760947
12684;5.41362890889661;1.8610783065021
12685;5.72284345199035;1.98567037174372
12686;5.96213981289281;2.04213358766085
12688;5.36896853836903;2.13971561715923
12689;4.73932858350817;2.15891078026196
12690;3.77011457643222;2.46715762437955
12692;2.93546931324023;2.37205994367372
12693;2.64423932944854;2.333427044673
12695;2.56213903257654;2.31610715815202
12696;2.35786753172812;2.23840240988875
12697;2.41751597324044;2.19679145280616
12698;2.41285655338793;2.18928619882354
12699;2.55136434024162;2.22710352213482
12701;2.54455840751969;2.28052674816829
12702;2.64476321788825;2.46312355679068
12703;2.771478037786;2.4742205706227
12704;2.85888387658986;2.45268643597002
12705;2.55153038290363;2.18202926911648
12706;2.60569514603854;2.10147399710477
12708;2.48734023772746;1.91744272104127
12709;2.59178704868139;2.23875751942054
12710;2.53658309368855;2.20418972064216
12711;2.7034884726326;2.18920237749794
12712;2.80908628108172;2.40232106444807
12714;2.74482071906048;2.053608577114
12715;2.6137021463371;2.07735427451958
12716;2.7024435001737;2.24646213530865
12717;2.72907855679648;2.15842629142966
12718;2.82788113610974;2.14634059681582
12720;2.75081679955329;2.19948063916099
12721;2.93729537654715;2.20596198798017
12722;2.76179105096976;2.32444778023485
12723;2.79963087875296;2.35701650010604
12725;2.79791024388124;2.38762817077502
12726;2.77123783121985;2.44108806033813
12727;2.67712166720703;2.249447740895
12728;2.55892712721625;2.13027579840312
12730;2.5971233620828;2.02760587201709
12731;2.6524417181218;2.02850886846727
12732;2.83476767820493;2.05583753149208
12733;2.63422743793857;1.99915849909166
12734;2.80238175891104;1.89460662096144
